Date,^NSEI
2023-01-03,0.001927069632871597
2023-01-04,-0.010453517612292944
2023-01-05,-0.0028194100932680756
2023-01-06,-0.0074028372147649955
2023-01-09,0.01344545509952314
2023-01-10,-0.010387266093937284
2023-01-11,-0.0010305082936186098
2023-01-12,-0.0020976741216788596
2023-01-13,0.0054949708747303715
2023-01-16,-0.0034447734977776498
2023-01-17,0.008815596703469526
2023-01-18,0.00618737497867869
2023-01-19,-0.0031703874707042848
2023-01-20,-0.004438812272184146
2023-01-23,0.005029606393094338
2023-01-24,-1.379810823647804e-05
2023-01-25,-0.012571672991636754
2023-01-27,-0.016204838949638832
2023-01-30,0.002530238851503625
2023-01-31,0.0007477066778470427
2023-02-01,-0.0025992997802722563
2023-02-02,-0.00033499535771969267
2023-02-03,0.013740758205234283
2023-02-06,-0.005022725956678951
2023-02-07,-0.0024290993398515346
2023-02-08,0.00843982073038998
2023-02-09,0.0012162679944837883
2023-02-10,-0.00206709283308457
2023-02-13,-0.0048052775756446476
2023-02-14,0.008904589905162998
2023-02-15,0.004785004379327248
2023-02-16,0.00110951785824931
2023-02-17,-0.005094522761127012
2023-02-20,-0.005565979846782634
2023-02-21,-0.0010036299610954843
2023-02-22,-0.015398310946496917
2023-02-23,-0.0024554471223785586
2023-02-24,-0.002598803690668268
2023-02-27,-0.004194194796816341
2023-02-28,-0.005115779048087727
2023-03-01,0.008456491641293511
2023-03-02,-0.007419626196212839
2023-03-03,0.015606186138582535
2023-03-06,0.006633473404126094
2023-03-08,0.0024221155475668
2023-03-09,-0.009325598438082557
2023-03-10,-0.010096462811863625
2023-03-13,-0.014962416687813755
2023-03-14,-0.006491706128142258
2023-03-15,-0.004183422059139645
2023-03-16,0.0007921148752918237
2023-03-17,0.0067155298897271865
2023-03-20,-0.006550651968001941
2023-03-21,0.006986182644570191
2023-03-22,0.002592013577443892
2023-03-23,-0.0043822814890137705
2023-03-24,-0.007750894050448838
2023-03-27,0.002395965721106003
2023-03-28,-0.0020036899079230227
2023-03-29,0.0075810476927372725
2023-03-31,0.016205182818433635
2023-04-03,0.002203867672376198
2023-04-05,0.00909744726853034
2023-04-06,0.002395004471214228
2023-04-10,0.0014138632460749291
2023-04-11,0.005559286811614234
2023-04-12,0.005071088231309614
2023-04-13,0.0008753891763391581
2023-04-17,-0.00681870678285114
2023-04-18,-0.0026408372714739102
2023-04-19,-0.0023470351496987078
2023-04-20,0.00032342232975522987
2023-04-21,-2.260734499433094e-05
2023-04-24,0.006749146939408538
2023-04-25,0.0014557975062981768
2023-04-26,0.002492753268886545
2023-04-27,0.005678996739265909
2023-04-28,0.008335179280697748
2023-05-02,0.004564732669242972
2023-05-03,-0.003190111363585117
2023-05-04,0.009131894646700034
2023-05-05,-0.010285117822267788
2023-05-08,0.010756068652657526
2023-05-09,8.479678637020549e-05
2023-05-10,0.0026872067245805376
2023-05-11,-0.0009887229108728535
2023-05-12,0.0009724068345624825
2023-05-15,0.004578622613795238
2023-05-16,-0.0061250587396132535
2023-05-17,-0.005744738948538704
2023-05-18,-0.0028531199312594804
2023-05-19,0.004043187469679982
2023-05-22,0.0060792457091855085
2023-05-23,0.0018329197446846867
2023-05-24,-0.003417628155656871
2023-05-25,0.0019532029433287895
2023-05-26,0.009679423693686186
2023-05-29,0.005353443226476252
2023-05-30,0.0018907797884415813
2023-05-31,-0.005351312266430236
2023-06-01,-0.0025201353688439534
2023-06-02,0.002503906967370625
2023-06-05,0.0032186023111129003
2023-06-06,0.00027695595857881204
2023-06-07,0.006826497990157328
2023-06-08,-0.004916887367083021
2023-06-09,-0.003825505177262602
2023-06-12,0.0020503013499982166
2023-06-13,0.00614458574708609
2023-06-14,0.002121582036807868
2023-06-15,-0.0036214536561356998
2023-06-16,0.007351956368470602
2023-06-19,-0.003754557931873424
2023-06-20,0.0032603966930515953
2023-06-21,0.0021314905059401927
2023-06-22,-0.004549778379793411
2023-06-23,-0.005649543898520234
2023-06-26,0.0013758829522746805
2023-06-27,0.006729211402828641
2023-06-28,0.008187463868637099
2023-06-30,0.011370386219451868
2023-07-03,0.006933003527425256
2023-07-04,0.0034330468644171055
2023-07-05,0.0004898485434720244
2023-07-06,0.005080291021865595
2023-07-07,-0.008524585713268293
2023-07-10,0.0012458539412885826
2023-07-11,0.004304651710725516
2023-07-12,-0.00283845407345589
2023-07-13,0.0015180775225879406
2023-07-14,0.007735121594226721
2023-07-17,0.007482946045497489
2023-07-18,0.0019158704007220429
2023-07-19,0.00423928389630214
2023-07-20,0.007334449485705515
2023-07-21,-0.011788954585924888
2023-07-24,-0.0036862180542648424
2023-07-25,0.00041928243166748923
2023-07-26,0.0049520574860006375
2023-07-27,-0.006004368496797154
2023-07-28,-0.0007047080421790248
2023-07-31,0.005469577389253641
2023-08-01,-0.0010256449710540406
2023-08-02,-0.010545154493387934
2023-08-03,-0.007448355676119346
2023-08-04,0.006959118337332752
2023-08-07,0.004105960861445235
2023-08-08,-0.0013506471779916257
2023-08-09,0.0031477485221408875
2023-08-10,-0.004566679886024027
2023-08-11,-0.005891456761763215
2023-08-14,0.0003216439248586792
2023-08-16,0.0015655309306883672
2023-08-17,-0.005137758290060533
2023-08-18,-0.0028493381372506382
2023-08-21,0.0043122099570484
2023-08-22,0.00014692476375842436
2023-08-23,0.0024485198272942723
2023-08-24,-0.0029513155310064644
2023-08-25,-0.0062556798015631025
2023-08-28,0.0020870149074536447
2023-08-29,0.0018939637920959618
2023-08-30,0.00024806491573087567
2023-08-31,-0.004852103039648143
2023-09-01,0.009382556025202547
