Date,ABBOTINDIA.NS,ADANIENT.NS,APLAPOLLO.NS,BAJAJ-AUTO.NS,BALKRISIND.NS,HCLTECH.NS,HDFCBANK.NS,HINDUNILVR.NS,INFY.NS
2023-01-02,20872.439453125,3835.814453125,1098.778564453125,3439.902587890625,2098.00439453125,957.0419921875,1588.541748046875,2484.99560546875,1447.292724609375
2023-01-03,21109.96484375,3825.578857421875,1081.000244140625,3466.61181640625,2099.581787109375,958.7914428710938,1598.9290771484375,2469.114990234375,1445.915771484375
2023-01-04,21359.662109375,3821.684326171875,1127.48193359375,3419.59423828125,2092.87744140625,954.4180297851562,1570.3516845703125,2463.335693359375,1419.5625
2023-01-05,21523.09375,3824.430419921875,1116.2589111328125,3485.332275390625,2146.46142578125,961.3233032226562,1560.2567138671875,2509.570068359375,1400.9488525390625
2023-01-06,21740.123046875,3818.888427734375,1111.988037109375,3505.640869140625,2180.228271484375,950.9192504882812,1555.0875244140625,2502.52783203125,1375.5927734375
2023-01-09,21676.8828125,3849.894775390625,1105.283935546875,3484.947265625,2179.883544921875,982.8222045898438,1558.1109619140625,2548.762451171875,1409.7332763671875
2023-01-10,21475.529296875,3641.787109375,1097.5369873046875,3440.143310546875,2158.6865234375,979.507568359375,1529.6309814453125,2567.994140625,1395.7733154296875
2023-01-11,21626.15625,3630.70263671875,1111.342529296875,3405.34912109375,2160.905029296875,971.175048828125,1551.6737060546875,2518.845703125,1397.19775390625
2023-01-12,21578.982421875,3642.08642578125,1120.5792236328125,3436.3896484375,2183.03857421875,986.689208984375,1559.9642333984375,2515.73779296875,1406.0771484375
2023-01-13,21695.478515625,3715.932861328125,1127.283447265625,3470.076904296875,2201.91845703125,992.3516235351562,1561.1834716796875,2548.713623046875,1427.9669189453125
2023-01-16,21461.068359375,3614.724853515625,1115.1663818359375,3448.757568359375,2192.45361328125,1006.9910278320312,1546.2119140625,2522.58544921875,1448.7171630859375
2023-01-17,21110.44921875,3634.24755859375,1134.4344482421875,3471.664794921875,2209.1650390625,1022.9658813476562,1569.22998046875,2591.01416015625,1462.012451171875
2023-01-18,21383.955078125,3591.6572265625,1180.81689453125,3474.504150390625,2204.58056640625,1026.74072265625,1596.9298095703125,2609.129150390625,1467.6156005859375
2023-01-19,21420.322265625,3458.694091796875,1169.395263671875,3441.82763671875,2185.60205078125,1032.547119140625,1603.56201171875,2573.724609375,1461.442626953125
2023-01-20,21223.396484375,3451.30419921875,1188.56396484375,3438.74755859375,2193.982177734375,1029.2027587890625,1619.9964599609375,2475.622314453125,1448.7646484375
2023-01-23,21308.30078125,3431.5322265625,1156.8311767578125,3487.642578125,2215.720947265625,1041.651611328125,1631.8470458984375,2521.905029296875,1470.084716796875
2023-01-24,21072.771484375,3437.17431640625,1147.544677734375,3548.2314453125,2217.5947265625,1057.1204833984375,1653.6947021484375,2525.8876953125,1473.788330078125
2023-01-25,20726.291015625,3384.198486328125,1146.4522705078125,3577.972412109375,2208.277587890625,1043.091796875,1607.9998779296875,2547.111083984375,1465.3363037109375
2023-01-27,20653.60546875,2757.578369140625,1131.50439453125,3789.09521484375,2098.74365234375,1036.44921875,1575.9599609375,2537.203369140625,1442.6868896484375
2023-01-30,20433.1171875,2888.794189453125,1127.928955078125,3697.080810546875,2143.602294921875,1054.240478515625,1574.3505859375,2494.4658203125,1461.3477783203125
2023-01-31,20268.912109375,2969.730224609375,1135.87451171875,3675.039794921875,2189.9892578125,1042.5809326171875,1563.963134765625,2502.819091796875,1456.5518798828125
2023-02-01,20155.376953125,2132.356201171875,1141.28759765625,3668.3505859375,2218.185791015625,1051.7783203125,1587.420166015625,2500.390869140625,1473.0286865234375
2023-02-02,19941.02734375,1563.0555419921875,1175.6026611328125,3648.52294921875,2245.7421875,1068.03662109375,1563.8167724609375,2559.252197265625,1504.0352783203125
2023-02-03,20322.654296875,1584.575439453125,1165.322998046875,3708.05322265625,2259.002197265625,1064.83154296875,1617.899658203125,2572.75341796875,1518.8975830078125
2023-02-06,20320.220703125,1570.494873046875,1178.929931640625,3704.73291015625,2267.925048828125,1064.41357421875,1611.0234375,2561.923095703125,1490.8348388671875
2023-02-07,20438.71484375,1800.422119140625,1171.7291259765625,3733.9443359375,2241.89697265625,1048.20166015625,1613.4129638671875,2526.567626953125,1483.7598876953125
2023-02-08,20717.966796875,2161.215576171875,1176.0992431640625,3734.762451171875,2296.861328125,1063.763427734375,1613.218017578125,2508.69580078125,1510.445556640625
2023-02-09,20297.291015625,1923.0,1192.23876953125,3701.50830078125,2269.994873046875,1065.017333984375,1609.85302734375,2512.483642578125,1535.6116943359375
2023-02-10,20194.958984375,1844.3604736328125,1183.5977783203125,3687.937255859375,2275.71337890625,1036.49560546875,1616.2415771484375,2503.547607421875,1527.587158203125
2023-02-13,19738.357421875,1715.2418212890625,1193.6292724609375,3737.842529296875,2023.3221435546875,1034.033447265625,1617.460693359375,2506.947021484375,1488.5556640625
2023-02-14,19773.603515625,1747.246826171875,1209.32177734375,3730.72021484375,1967.4705810546875,1045.6002197265625,1632.43212890625,2505.587646484375,1513.0570068359375
2023-02-15,19862.16015625,1776.6055908203125,1222.978271484375,3758.9208984375,1991.1815185546875,1052.5218505859375,1629.1160888671875,2475.3310546875,1516.6658935546875
2023-02-16,19887.330078125,1794.0810546875,1312.1678466796875,3760.076171875,1972.4000244140625,1048.108642578125,1623.2152099609375,2454.59375,1521.1767578125
2023-02-17,19683.87890625,1720.28466796875,1279.1439208984375,3748.237548828125,2004.2591552734375,1030.828369140625,1615.071044921875,2443.32666015625,1504.082763671875
